Player,Age,Team,GPPred,FSPred,ValPred,Conf,Div
Ryan Reaves,37,TOR,59,-0.831,-1.82,East,Atlantic
Morgan Rielly,29,TOR,61,-0.122,-0.28,East,Atlantic
Ilya Samsonov,26,TOR,56,0.331,0.69,East,Atlantic
John Tavares,33,TOR,70,0.755,1.96,East,Atlantic
Evan Bouchard,24,EDM,71,0.313,0.82,West,Metropolitan
Philip Broberg,22,EDM,53,-0.42,-0.82,West,Metropolitan
Jack Campbell,32,EDM,47,-0.314,-0.55,West,Metropolitan
Cody Ceci,30,EDM,67,0.027,0.07,West,Metropolitan
Leon Draisaitl,28,EDM,78,2.587,7.47,West,Metropolitan
Mattias Ekholm,33,EDM,68,0.541,1.36,West,Metropolitan
Warren Foegele,27,EDM,65,-0.159,-0.38,West,Metropolitan
Zach Hyman,31,EDM,71,0.893,2.35,West,Metropolitan
Mattias Janmark,31,EDM,60,-0.346,-0.77,West,Metropolitan
Evander Kane,32,EDM,52,0.52,1,West,Metropolitan
Brett Kulak,30,EDM,68,-0.153,-0.39,West,Metropolitan
Connor McDavid,27,EDM,81,2.798,8.39,West,Metropolitan
Ryan McLeod,24,EDM,61,-0.139,-0.31,West,Metropolitan
Ryan Nugent-Hopkins,30,EDM,72,1.004,2.68,West,Metropolitan
Darnell Nurse,28,EDM,71,0.785,2.06,West,Metropolitan
Lane Pederson,26,EDM,45,-0.619,-1.03,West,Metropolitan
Derek Ryan,37,EDM,63,-0.585,-1.36,West,Metropolitan
Stuart Skinner,25,EDM,54,0.586,1.17,West,Metropolitan
Gavin Bayreuther,29,DAL,54,-0.109,-0.22,West,Central
Jamie Benn,34,DAL,71,0.661,1.74,West,Central
Evgenii Dadonov,34,DAL,62,-0.271,-0.62,West,Central
Matt Duchene,33,DAL,65,0.893,2.15,West,Central
Radek Faksa,30,DAL,66,-0.555,-1.36,West,Central
Joel Hanley,32,DAL,46,-0.398,-0.68,West,Central
Miro Heiskanen,24,DAL,71,0.697,1.83,West,Central
Roope Hintz,27,DAL,73,1.657,4.48,West,Central
Esa Lindell,29,DAL,71,0.616,1.62,West,Central
Nils Lundkvist,23,DAL,56,0.015,0.03,West,Central
Mason Marchment,28,DAL,61,0.187,0.42,West,Central
Matt Murray,25,DAL,46,0.129,0.22,West,Central
Jake Oettinger,25,DAL,63,0.779,1.82,West,Central
Joe Pavelski,39,DAL,68,0.694,1.75,West,Central
Jason Robertson,24,DAL,77,2.066,5.89,West,Central
Tyler Seguin,32,DAL,67,0.134,0.33,West,Central
Craig Smith,34,DAL,59,-0.419,-0.92,West,Central
Sam Steel,25,DAL,63,-0.203,-0.47,West,Central
Ryan Suter,39,DAL,64,-0.307,-0.73,West,Central
Scott Wedgewood,31,DAL,46,0.402,0.68,West,Central
Alex Belzile,32,NYR,43,-0.565,-0.9,East,Metro
Anton Blidh,28,NYR,39,-0.781,-1.13,East,Metro
Nick Bonino,35,NYR,59,-0.502,-1.1,East,Metro
Filip Chytil,24,NYR,68,0.147,0.37,East,Metro
Adam Fox,25,NYR,74,0.973,2.67,East,Metro
Barclay Goodrow,30,NYR,67,-0.223,-0.55,East,Metro
Erik Gustafsson,31,NYR,62,0.12,0.28,East,Metro
Ben Harpur,29,NYR,48,-0.894,-1.59,East,Metro
Kaapo Kakko,22,NYR,68,0.194,0.49,East,Metro
Chris Kreider,32,NYR,70,1.461,3.79,East,Metro
Ryan Lindgren,25,NYR,69,1.025,2.62,East,Metro
K'Andre Miller,24,NYR,71,0.56,1.47,East,Metro
Artemi Panarin,32,NYR,71,1.005,2.64,East,Metro
Tyler Pitlick,32,NYR,54,-0.736,-1.47,East,Metro
Jonathan Quick,38,NYR,45,-0.744,-1.24,East,Metro
Braden Schneider,22,NYR,67,0.25,0.62,East,Metro
Igor Shesterkin,28,NYR,61,1.084,2.45,East,Metro
Vincent Trocheck,30,NYR,70,0.322,0.83,East,Metro
Jacob Trouba,29,NYR,69,0.307,0.78,East,Metro
Jimmy Vesey,30,NYR,65,-0.455,-1.1,East,Metro
Blake Wheeler,37,NYR,62,0.154,0.35,East,Metro
Mika Zibanejad,30,NYR,73,1.258,3.4,East,Metro
Bowen Byram,22,COL,55,0.669,1.36,West,Central
Andrew Cogliano,36,COL,63,-0.702,-1.64,West,Central
Ross Colton,27,COL,68,0.02,0.05,West,Central
Jonathan Drouin,28,COL,55,-0.284,-0.58,West,Central
Pavel Francouz,33,COL,42,0.475,0.74,West,Central
Alexandar Georgiev,27,COL,60,0.318,0.71,West,Central
Samuel Girard,25,COL,65,-0.501,-1.21,West,Central
Brad Hunt,35,COL,52,-0.383,-0.74,West,Central
Ryan Johansen,31,COL,59,0.195,0.43,West,Central
Jack Johnson,37,COL,62,-0.816,-1.87,West,Central
Artturi Lehkonen,28,COL,65,0.467,1.12,West,Central
Kurtis MacDermid,29,COL,53,-0.343,-0.67,West,Central
Nathan MacKinnon,28,COL,71,1.805,4.75,West,Central
Cale Makar,25,COL,67,1.468,3.64,West,Central
Josh Manson,32,COL,54,0.347,0.69,West,Central
Valeri Nichushkin,28,COL,60,0.677,1.5,West,Central
Logan O'Connor,27,COL,68,-0.373,-0.94,West,Central
Mikko Rantanen,27,COL,78,2.175,6.28,West,Central
Devon Toews,29,COL,72,1.936,5.16,West,Central
Viktor Arvidsson,30,LAK,67,0.463,1.15,West,Metropolitan
Quinton Byfield,21,LAK,57,-0.187,-0.39,West,Metropolitan
Phillip Danault,30,LAK,68,0.267,0.67,West,Metropolitan
Drew Doughty,34,LAK,63,0.199,0.46,West,Metropolitan
Pierre-Luc Dubois,25,LAK,71,0.855,2.25,West,Metropolitan
Kevin Fiala,27,LAK,69,0.98,2.5,West,Metropolitan
Vladislav Gavrikov,28,LAK,67,0.162,0.4,West,Metropolitan
Arthur Kaliyev,22,LAK,64,0.07,0.17,West,Metropolitan
Adrian Kempe,27,LAK,74,1.275,3.49,West,Metropolitan
Trevor Lewis,37,LAK,63,-0.838,-1.96,West,Metropolitan
Blake Lizotte,26,LAK,68,-0.1,-0.25,West,Metropolitan
Trevor Moore,28,LAK,61,-0.067,-0.15,West,Metropolitan
David Rittich,31,LAK,41,-0.544,-0.83,West,Metropolitan
Matt Roy,28,LAK,69,0.584,1.49,West,Metropolitan
Cam Talbot,36,LAK,47,-0.191,-0.33,West,Metropolitan
Calen Addison,23,MIN,54,-0.932,-1.86,West,Central
Matt Boldy,22,MIN,70,0.862,2.23,West,Central
Jonas Brodin,30,MIN,63,0.351,0.82,West,Central
Connor Dewar,24,MIN,63,-0.567,-1.32,West,Central
Brandon Duhaime,26,MIN,59,-0.406,-0.89,West,Central
Joel Eriksson Ek,27,MIN,69,0.494,1.26,West,Central
Marcus Foligno,32,MIN,60,-0.034,-0.08,West,Central
Alex Goligoski,38,MIN,50,-0.097,-0.18,West,Central
Filip Gustavsson,25,MIN,54,0.61,1.22,West,Central
Ryan Hartman,29,MIN,62,0.498,1.14,West,Central
Marcus Johansson,33,MIN,66,-0.206,-0.5,West,Central
Kirill Kaprizov,26,MIN,71,1.949,5.13,West,Central
Pat Maroon,35,MIN,63,-0.677,-1.58,West,Central
Jared Spurgeon,34,MIN,69,1.195,3.05,West,Central
Mats Zuccarello,36,MIN,65,0.554,1.33,West,Central
